"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"24612",2012,"5,897","Beyond Outrage","$17,027,515","$3,878","<0.1%","$17,023,637","100%","tt1724962","https://m.media-amazon.com/images/M/MV5BMjMwMzczMjE1Nl5BMl5BanBnXkFtZTgwNTEyMzY1MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,22105240.841566,"2010's"
"25716",2012,"5,905","26 Years","$17,003,684","-","-","$17,003,684","100%","tt2551894","https://m.media-amazon.com/images/M/MV5BMzJkMzk5N2ItZDcwNS00OGE5LWFlMGQtNGU5MjgwOGI0MTZiXkEyXkFqcGdeQXVyOTExODQ3OQ@@._V1_QL75_UY281_CR3,0,190,281_.jpg",1.29820709842664,22074303.2682034,"2010's"
"25685",2012,"5,914","Till Luck Do Us Part","$16,963,608","-","-","$16,963,608","100%","tt2332518","https://m.media-amazon.com/images/M/MV5BMTk1Mjc2OTk0M15BMl5BanBnXkFtZTgwMzEzNTE4MTE@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.29820709842664,22022276.3205269,"2010's"
"25008",2012,"5,934","The Cold Light of Day","$16,863,583","$3,763,583","22.3%","$13,100,000","77.7%","tt1366365","https://m.media-amazon.com/images/M/MV5BMTQzODQ4NjAxMF5BMl5BanBnXkFtZTcwMzAwNjM0Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,21892423.1555068,"2010's"
"25386",2012,"5,941","Happiness Never Comes Alone","$16,840,841","-","-","$16,840,841","100%","tt1872880","https://m.media-amazon.com/images/M/MV5BMjE0MzEwODk5NF5BMl5BanBnXkFtZTcwMTUwMzc0OA@@._V1_QL75_UY281_CR11,0,190,281_.jpg",1.29820709842664,21862899.3296744,"2010's"
"24462",2012,"5,950","Hit and Run","$16,816,647","$13,749,300","81.8%","$3,067,347","18.2%","tt2097307","https://m.media-amazon.com/images/M/MV5BMjExNTgzMTAzMV5BMl5BanBnXkFtZTcwMDA0ODkxOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,21831490.507135,"2010's"
"25761",2012,"5,955","Love 911","$16,786,016","-","-","$16,786,016","100%","tt2592808","https://m.media-amazon.com/images/M/MV5BNzExMDZjMjAtYWQzYy00ODc5LTljMWItNjAwYmRkMjQzMjIyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,21791725.1255031,"2010's"
"25403",2012,"5,961","My Way","$16,758,611","-","-","$16,758,611","100%","tt2076176","https://m.media-amazon.com/images/M/MV5BODY5OWQ0ZWYtN2Q3Ny00Y2RiLTgwYTUtMTYwMWYyNWFkODUzXkEyXkFqcGdeQXVyODAwMTU1MTE@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,21756147.7599707,"2010's"
"24926",2012,"5,968","Love Is All You Need","$16,722,143","$1,631,709","9.8%","$15,090,434","90.2%","tt1854236","https://m.media-amazon.com/images/M/MV5BNzYxMDQwMzIzMF5BMl5BanBnXkFtZTcwNjcxODIzOQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.29820709842664,21708804.7435053,"2010's"
"26069",2012,"6,015","Silent House","$16,527,747","$12,754,783","77.2%","$3,772,964","22.8%","tt1767382","https://m.media-amazon.com/images/M/MV5BMTUzOTc2NjQ3MV5BMl5BanBnXkFtZTcwNzk3ODUzNw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,21456438.4763996,"2010's"
"25590",2012,"6,025","The Concubine","$16,465,764","-","-","$16,465,764","100%","tt2544120","https://m.media-amazon.com/images/M/MV5BYzczODBlNmQtNjJmYS00Y2Y3LWEwMTEtYWE2ODBkNjYxNDM0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.29820709842664,21375971.7058178,"2010's"
"26173",2012,"6,072","Evim Sensin","$16,212,101","-","-","$16,212,101","100%","tt2261505","https://m.media-amazon.com/images/M/MV5BMTg0OTE3MjIxMF5BMl5BanBnXkFtZTgwNTE1MzgxMDE@._V1_QL75_UY281_CR3,0,190,281_.jpg",1.29820709842664,21046664.5986096,"2010's"
"26050",2012,"6,078","In the House","$16,190,771","$389,757","2.4%","$15,801,014","97.6%","tt1964624","https://m.media-amazon.com/images/M/MV5BMTY3OTQwMTg5Ml5BMl5BanBnXkFtZTcwNjQ4NzAyOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,21018973.8412001,"2010's"
"25399",2012,"6,081","Helpless","$16,175,929","-","-","$16,175,929","100%","tt2308725","https://m.media-amazon.com/images/M/MV5BMTU1NDY0NjA2MV5BMl5BanBnXkFtZTgwODIxOTMzMjE@._V1_QL75_UX190_CR0,2,190,281_.jpg",1.29820709842664,20999705.8514453,"2010's"
"24457",2012,"6,111","A Perfect Plan","$16,049,338","-","-","$16,049,338","100%","tt1986843","https://m.media-amazon.com/images/M/MV5BMTY5MjYxNzUzMl5BMl5BanBnXkFtZTcwMDI1NjAzOQ@@._V1_QL75_UY281_CR8,0,190,281_.jpg",1.29820709842664,20835364.5166484,"2010's"
"25574",2012,"6,127","The Words","$15,950,164","$11,494,838","72.1%","$4,455,326","27.9%","tt1840417","https://m.media-amazon.com/images/M/MV5BMTM2NjgyMjI3OV5BMl5BanBnXkFtZTcwMDkxMjIyOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.29820709842664,20706616.125869,"2010's"
"26113",2012,"6,139","Stars 80","$15,896,916","-","-","$15,896,916","100%","tt2166143","https://m.media-amazon.com/images/M/MV5BMzRkNmI2MmEtMTE3Ni00YmJiLTlmMjgtOTE5OGFmNDNhNzkxXkEyXkFqcGdeQXVyMTU5MzkwNTQ@._V1_QL75_UY281_CR11,0,190,281_.jpg",1.29820709842664,20637489.194292,"2010's"
