id,top,tot,n,prop
251,147,1185,17,NA
252,58,58,1,NA
253,229,888,8,8
254,263,263,1,1
255,362,3605,17,NA
256,-Inf,0,0,NA
257,-Inf,0,0,NA
258,110,282,6,NA
259,410,1425,17,NA
260,824,3563,8,8
261,-Inf,0,0,0
262,307,1617,7,7
263,404,479,2,2
264,-Inf,0,0,0
265,-Inf,0,0,NA
266,77,231,4,NA
267,570,1079,2,2
268,91,149,2,NA
269,333,568,2,2
270,24,24,1,NA
271,249,249,1,1
272,114,145,2,NA
273,119,399,8,NA
274,-Inf,0,0,NA
275,148,148,1,1
276,77,77,1,NA
277,104,169,2,NA
278,460,3599,12,13
279,-Inf,0,0,NA
280,201,538,5,5
281,1760,9194,18,40
282,-Inf,0,0,NA
283,114,332,3,3
284,-Inf,0,0,NA
285,26,26,1,NA
286,-Inf,0,0,NA
287,144,355,3,3
288,133,341,4,NA
289,-Inf,0,0,NA
290,145,743,9,8
291,238,1383,17,NA
292,205,386,2,2
293,-Inf,0,0,NA
294,1446,10217,9,NA
295,87,149,2,2
296,55,105,2,NA
297,99,99,1,1
298,542,3454,17,NA
299,110,407,4,4
300,28,28,1,NA
