"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"46408",2020,"266","The Eight Hundred","$461,421,559","$372,755","<0.1%","$461,048,804","99.9%","tt7294150","https://m.media-amazon.com/images/M/MV5BZDNmODAxZDAtODczZS00NDI2LThhYTQtMjAzNjgyMGQxN2NjXkEyXkFqcGdeQXVyMTIyNjI1ODc5._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,531361146.164232,"2020's"
"45808",2020,"273","Demon Slayer the Movie: Mugen Train","$453,210,959","$49,505,008","10.9%","$403,705,951","89.1%","tt11032374","https://m.media-amazon.com/images/M/MV5BODI2NjdlYWItMTE1ZC00YzI2LTlhZGQtNzE3NzA4MWM0ODYzXkEyXkFqcGdeQXVyNjU1OTg4OTM@._V1_QL75_UX190_CR0,2,190,281_.jpg",1.15157416423239,521906031.331386,"2020's"
"46201",2020,"301","Bad Boys for Life","$426,505,244","$206,305,244","48.4%","$220,200,000","51.6%","tt1502397","https://m.media-amazon.com/images/M/MV5BMWU0MGYwZWQtMzcwYS00NWVhLTlkZTAtYWVjOTYwZTBhZTBiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,491152419.900032,"2020's"
"46530",2020,"305","My People, My Homeland","$422,390,820","-","-","$422,390,820","100%","tt12363162","https://m.media-amazon.com/images/M/MV5BYmE4NTZjMTAtZTYyZC00YjM0LWJiMWYtODI2Y2E0MjJmOGRmXkEyXkFqcGdeQXVyNzk0MDg0MzE@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.15157416423239,486414355.520935,"2020's"
"45562",2020,"391","Tenet","$365,304,105","$58,504,105","16%","$306,800,000","84%","tt6723592","https://m.media-amazon.com/images/M/MV5BMzU3YWYwNTQtZTdiMC00NjY5LTlmMTMtZDFlYTEyODBjMTk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,420674769.406037,"2020's"
"45450",2020,"484","Sonic the Hedgehog","$319,715,683","$148,974,665","46.6%","$170,741,018","53.4%","tt3794354","https://m.media-amazon.com/images/M/MV5BNTdmNmI4MzQtZTAzNS00MjhjLWEzOGQtZjI1NDNjZjk4N2JjXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_QL75_UY281_CR0,0,190,281_.jpg",1.15157416423239,368176320.442713,"2020's"
"46544",2020,"644","Dolittle","$251,410,631","$77,047,065","30.6%","$174,363,566","69.4%","tt6673612","https://m.media-amazon.com/images/M/MV5BMDNkODA5ZGQtODczOS00OTQxLThhMTItMjk0ZmNhMDM0YjNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,289517987.272963,"2020's"
"46587",2020,"687","Legend of Deification","$240,646,355","$214,670","<0.1%","$240,431,685","99.9%","tt11177804","https://m.media-amazon.com/images/M/MV5BZTEwNzRjNjgtMmM1Yy00ZDY3LWIyZDgtOWNlZWY1ZGYzNzg0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY281_CR2,0,190,281_.jpg",1.15157416423239,277122125.134696,"2020's"
"46630",2020,"783","A Little Red Flower","$216,000,000","-","-","$216,000,000","100%","tt12497408","https://m.media-amazon.com/images/M/MV5BZWFjNDkxZDctY2U0NS00MDRhLThhNGEtYjIwOWU4NGZiMTgyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,3,190,281_.jpg",1.15157416423239,248740019.474197,"2020's"
"45141",2020,"784","The Croods: A New Age","$215,905,815","$58,568,815","27.1%","$157,337,000","72.9%","tt2850386","https://m.media-amazon.com/images/M/MV5BNjUwNjdhM2UtYTcxZC00NTI4LTlhZWMtMGEzNjBiZWI1NzJiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg",1.15157416423239,248631558.461538,"2020's"
"46679",2020,"845","Birds of Prey","$205,372,791","$84,172,791","41%","$121,200,000","59%","tt7713068","https://m.media-amazon.com/images/M/MV5BMzQ3NTQxMjItODBjYi00YzUzLWE1NzQtZTBlY2Y2NjZlNzkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.15157416423239,236502000.151899,"2020's"
"45094",2020,"874","Shock Wave 2","$198,921,659","-","-","$198,921,659","100%","tt9597838","https://m.media-amazon.com/images/M/MV5BODRmYzExNGUtMjE0OS00ZjdmLWIxYmItYzk2NjQ1YTlhYmI3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,229073043.210646,"2020's"
"46231",2020,"1,061","Wonder Woman 1984","$169,601,036","$46,801,036","27.6%","$122,800,000","72.4%","tt7126948","https://m.media-amazon.com/images/M/MV5BYTlhNzJjYzYtNGU3My00ZDI5LTgzZDUtYzllYjU1ZmU0YTgwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,195308171.284648,"2020's"
"46291",2020,"1,120","The Sacrifice","$161,047,608","-","-","$161,047,608","100%","tt13000980","https://m.media-amazon.com/images/M/MV5BY2JlNmI4NmMtZDQ2NS00NWUyLWJmYzgtZDU0YjM0NTM2ODllXkEyXkFqcGdeQXVyNDM1Nzc0MTI@._V1_QL75_UY281_CR12,0,190,281_.jpg",1.15157416423239,185458264.584226,"2020's"
"46718",2020,"1,249","The Invisible Man","$144,492,724","$70,410,000","48.7%","$74,082,724","51.3%","tt1051906","https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg",1.15157416423239,166394087.877962,"2020's"
"46555",2020,"1,262","Onward","$141,940,042","$61,555,145","43.4%","$80,384,897","56.6%","tt7146812","https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,163454485.237261,"2020's"
"46183",2020,"1,378","Warm Hug","$129,240,236","-","-","$129,240,236","100%","tt13529418","https://m.media-amazon.com/images/M/MV5BNmQ5MzdkMzgtODkzOC00MDUzLTgwZTEtYzlhYjA0MzY1MTM2XkEyXkFqcGdeQXVyODYyNTM1Nzk@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.15157416423239,148829716.756897,"2020's"
"46693",2020,"1,456","Soul","$121,031,304","-","-","$121,031,304","100%","tt2948372","https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,139376522.749757,"2020's"
"46025",2020,"1,583","The Call of the Wild","$111,202,881","$62,342,368","56.1%","$48,860,513","43.9%","tt7504726","https://m.media-amazon.com/images/M/MV5BZDA1ZmQ2OGMtZDhkMC00ZjRkLWE3ZTMtMzA5ZTk0YjM1OGRmXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,128058364.747809,"2020's"
