"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"45366",2020,"2,100","Caught in Time","$80,543,319","-","-","$80,543,319","100%","tt9877138","https://m.media-amazon.com/images/M/MV5BZTAzNzFiMjUtMDRiMy00ZjAwLWJjMDctNGYxNDU1NGUxZjhhXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.15157416423239,92751605.2619279,"2020's"
"46053",2020,"2,338","Mulan","$69,965,374","-","-","$69,965,374","100%","tt4566758","https://m.media-amazon.com/images/M/MV5BYjdlZjRiYTUtN2NlNC00MDkxLWI0MmItOTUwNTg1YTU4MWUxXkEyXkFqcGdeQXVyMTA1OTEwNjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,80570317.0892567,"2020's"
"45488",2020,"2,388","The Yin-Yang Master: Dream of Eternity","$68,000,000","-","-","$68,000,000","100%","tt11454718","https://m.media-amazon.com/images/M/MV5BYzlmNmNhYWQtYzc4NS00ZmI5LWE2ZjUtNzcxZjdmMjNlMzliXkEyXkFqcGdeQXVyNTI2MzI4NTU@._V1_QL75_UX190_CR0,2,190,281_.jpg",1.15157416423239,78307043.1678027,"2020's"
"45085",2020,"2,458","Stand by Me Doraemon 2","$65,201,374","-","-","$65,201,374","100%","tt13428402","https://m.media-amazon.com/images/M/MV5BMzQ2MzJmZGMtZjhmNS00MGUyLWJjOGMtYzVmMTg4OTA2YzZkXkEyXkFqcGdeQXVyMTEwMjgyMzIz._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,75084217.7708536,"2020's"
"45839",2020,"2,492","The Rescue","$64,203,587","$18,797","<0.1%","$64,184,790","100%","tt9283920","https://m.media-amazon.com/images/M/MV5BYjBiNjFlN2QtNzUwNy00MDIwLTlmY2YtNTBiMDA1ZmY3MWRjXkEyXkFqcGdeQXVyNDM1Nzc0MTI@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.15157416423239,73935192.0402467,"2020's"
"46185",2020,"2,596","Love You Forever","$60,670,799","-","-","$60,670,799","100%","tt11285152","https://m.media-amazon.com/images/M/MV5BOTQzYjNmNTYtYWFiNy00NTM3LWJlY2ItMjliMTI0ZGUzNjUyXkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.15157416423239,69866924.6517364,"2020's"
"45830",2020,"2,847","Greenland","$52,300,000","-","-","$52,300,000","100%","tt7737786","https://m.media-amazon.com/images/M/MV5BMzcyMzU4MDUtM2JhOC00ZDg2LTg5MGMtZjc2OGMyMjhlMGE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,60227328.7893541,"2020's"
"45837",2020,"2,854","Tolo Tolo","$52,186,426","-","-","$52,186,426","100%","tt10413566","https://m.media-amazon.com/images/M/MV5BZTcxZDY5M2UtNDdiZi00Y2UwLWE3MGQtZWEwZTQ0OTk3NDczXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,60096539.9052256,"2020's"
"46254",2020,"2,907","Vanguard","$50,866,901","$793,525","1.6%","$50,073,376","98.4%","tt9695722","https://m.media-amazon.com/images/M/MV5BYjQ3ZjA1N2EtMWVhZS00NTA0LThkZDgtOTZmNGFiZTYyMzc3XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_QL75_UY281_CR11,0,190,281_.jpg",1.15157416423239,58577009.0061668,"2020's"
"45247",2020,"2,983","Fantasy Island","$49,447,308","$27,309,289","55.2%","$22,138,019","44.8%","tt0983946","https://m.media-amazon.com/images/M/MV5BOWE2ODZhYWYtNTFiYy00MjdmLWIzZGEtNTkyOTc1NDIwMjk4XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,56942242.3836417,"2020's"
"45730",2020,"2,993","Trolls 2: World Tour","$49,276,818","$450,000","0.9%","$48,826,818","99.1%","tt6587640","https://m.media-amazon.com/images/M/MV5BMTI5NmViY2YtNDk5NC00NjY2LWFlNGYtOGEwNzY1MTZmMjFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,10,190,281_.jpg",1.15157416423239,56745910.5043817,"2020's"
"45617",2020,"2,998","The New Mutants","$49,169,594","$23,852,659","48.5%","$25,316,935","51.5%","tt4682266","https://m.media-amazon.com/images/M/MV5BZDQ2NTdmNDgtMGIwMS00ODE2LTk5M2EtZGZhYzc4MWRlNTU3XkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,56622434.116196,"2020's"
"46162",2020,"3,056","After We Collided","$47,990,414","$2,386,483","5%","$45,603,931","95%","tt10362466","https://m.media-amazon.com/images/M/MV5BN2UyNGM3MDUtMTIzZi00ZDdkLThlYTktYjk0ZDMzM2JiMjMyXkEyXkFqcGdeQXVyNzE0MjkxMzA@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,55264520.8932165,"2020's"
"45436",2020,"3,062","From Today, It's My Turn: The Movie","$47,895,887","-","-","$47,895,887","100%","tt11427318","https://m.media-amazon.com/images/M/MV5BM2ViODEzZjYtYjNmMy00OWE0LWFlODctYjY0MmVhM2JlZTExXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,55155666.0421941,"2020's"
"45209",2020,"3,186","Tanhaji: The Unsung Warrior","$45,221,814","-","-","$45,221,814","100%","tt8108274","https://m.media-amazon.com/images/M/MV5BMDc5ZmQ3MzUtYTY4OS00YTE3LTkwNmItNmQ2ODIwNWM3MzY1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR11,0,190,281_.jpg",1.15157416423239,52076272.6621227,"2020's"
"46333",2020,"3,227","Unhinged","$44,331,465","$20,831,465","47%","$23,500,000","53%","tt10059518","https://m.media-amazon.com/images/M/MV5BYjc1Mjg5NjItY2I2MS00NDk3LWI5NGYtNzZjNTNiZmMwZTA3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,51050969.7565725,"2020's"
"45501",2020,"3,248","The End of Endless Love","$43,950,000","-","-","$43,950,000","100%","tt13154372","https://m.media-amazon.com/images/M/MV5BNzIxNDkwNDYtMWNkNy00ZTAzLWFhNWYtNTBkZDBhOGQ2ZmYyXkEyXkFqcGdeQXVyNjk4ODU3NTA@._V1_QL75_UY281_CR6,0,190,281_.jpg",1.15157416423239,50611684.5180136,"2020's"
"45891",2020,"3,275","The War with Grandpa","$43,387,445","$21,277,892","49%","$22,109,553","51%","tt4532038","https://m.media-amazon.com/images/M/MV5BNTlkZDQ1ODEtY2ZiMS00OGNhLWJlZDctYzY0NTFmNmQ2NDAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,49963860.7140539,"2020's"
"46640",2020,"3,316","Peninsula","$42,698,327","$1,231,407","2.9%","$41,466,920","97.1%","tt8850222","https://m.media-amazon.com/images/M/MV5BNmIxNTQ4MjgtMzI0Zi00N2I5LWIxZDAtZDFlNzA5N2JiNmZmXkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.15157416423239,49170290.2291464,"2020's"
"46320",2020,"3,337","Monster Hunter","$42,145,959","$15,162,470","36%","$26,983,489","64%","tt6475714","https://m.media-amazon.com/images/M/MV5BOGU3NTFmNjYtODc3Ny00MWEzLWI3M2ItZjE3NDgwMTI0MzkzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,48534197.5111977,"2020's"
"46629",2020,"3,415","Underwater","$40,882,928","$17,291,078","42.3%","$23,591,850","57.7%","tt5774060","https://m.media-amazon.com/images/M/MV5BNzM0OGZiZWItYmZiNC00NDgzLTg1MjMtYjM4MWZhOGZhMDUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,11,190,281_.jpg",1.15157416423239,47079723.6429731,"2020's"
"45367",2020,"3,481","Bloodshot","$39,861,118","$12,561,824","31.5%","$27,299,294","68.5%","tt1634106","https://m.media-amazon.com/images/M/MV5BYjA5YjA2YjUtMGRlNi00ZTU4LThhZmMtNDc0OTg4ZWExZjI3XkEyXkFqcGdeQXVyNjUyNjI3NzU@._V1_QL75_UY281_CR18,0,190,281_.jpg",1.15157416423239,45903033.6462188,"2020's"
"45541",2020,"3,651","Sarileru Neekevvaru","$37,389,889","$821,000","2.2%","$36,568,889","97.8%","tt10773090","https://m.media-amazon.com/images/M/MV5BNTkzNzdkYTQtMWY5Ny00NTJjLWFiMGEtZWQ1MTM2NmJjMDFiXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.15157416423239,43057230.1759169,"2020's"
"46711",2020,"3,682","New Interpretation Records of the Three Kingdoms","$36,747,486","-","-","$36,747,486","100%","tt12718318","https://m.media-amazon.com/images/M/MV5BMDQ1MjI3MDktNDVlMS00NmEyLWI0YzYtODU1OTBlYzg4YmJlXkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,42317455.4780915,"2020's"
"46461",2020,"3,720","The Confidence Man JP: Princess","$36,109,913","-","-","$36,109,913","100%","tt12767996","https://m.media-amazon.com/images/M/MV5BYWYyYjQ1NTMtNTI0My00NjQyLWI5NWQtOWVmMTQyNTU5ZDI0XkEyXkFqcGdeQXVyODMyOTYyMTM@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,41583242.8834794,"2020's"
"45232",2020,"3,830","The Man Standing Next","$34,664,900","$113,527","0.3%","$34,551,373","99.7%","tt11358398","https://m.media-amazon.com/images/M/MV5BYTg4YzkyMWEtODZhOS00ZDk1LThhNzUtYzBhZDVlZDIzYTc4XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY281_CR3,0,190,281_.jpg",1.15157416423239,39919203.2456994,"2020's"
"46469",2020,"3,850","My Mom is a Character 3","$34,360,029","-","-","$34,360,029","100%","tt10611372","https://m.media-amazon.com/images/M/MV5BMzAxYzQ3Y2MtMzM5Yy00NWUwLTg2M2EtOWY5MmNkNDhlMWNhXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.15157416423239,39568121.6786757,"2020's"
"45995",2020,"3,862","Deliver Us from Evil","$34,217,377","-","-","$34,217,377","100%","tt12763920","https://m.media-amazon.com/images/M/MV5BNjk1MTM4NWYtNmFhZC00ODZlLTgzODUtYjdiOGU3MjYyZjdhXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.15157416423239,39403847.3209997,"2020's"
"45404",2020,"3,880","Doraemon the Movie: Nobita's New Dinosaur","$33,942,341","-","-","$33,942,341","100%","tt10588750","https://m.media-amazon.com/images/M/MV5BNjVlMjc2YTctMzIxOC00Nzc1LWIyOGEtNmU5NzAzZGVhYzJlXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,39087122.9691659,"2020's"
"46552",2020,"4,092","Honest Thief","$31,220,247","$14,163,574","45.4%","$17,056,673","54.6%","tt1838556","https://m.media-amazon.com/images/M/MV5BZjEwNjYyMTMtODc5Yi00NTg5LTkwMzAtZTkyOTcyNTFkMGIyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,35952429.8461538,"2020's"
"45289",2020,"4,174","Like a Boss","$30,399,490","$22,169,514","72.9%","$8,229,976","27.1%","tt7545266","https://m.media-amazon.com/images/M/MV5BNjAyZDRjMjQtODE3MC00ODI2LTgxODktZThjYTgzZDE5NTc4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,35007267.289841,"2020's"
"46167",2020,"4,278","The Witches","$29,303,571","$203,571","0.7%","$29,100,000","99.3%","tt0805647","https://m.media-amazon.com/images/M/MV5BNjRkYjlhMjEtYzIwOC00ZWYzLTgyMmQtYjI5M2UzNDJkNTU2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,33745235.2833496,"2020's"
"46230",2020,"4,339","Bath Buddy","$28,700,000","-","-","$28,700,000","100%","tt13347818","https://m.media-amazon.com/images/M/MV5BMjMyMDkwMGUtMDRjMi00NzVlLWIxYjUtMWJjNjk0N2QwZjVmXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UX190_CR0,5,190,281_.jpg",1.15157416423239,33050178.5134697,"2020's"
"45507",2020,"4,350","Scoob!","$28,588,425","$2,188,425","7.6%","$26,400,000","92.4%","tt3152592","https://m.media-amazon.com/images/M/MV5BZTJmODM0MDQtMTRjYy00YWZjLThjODItMzQ5N2I2NDBjYzA1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UY281_CR11,0,190,281_.jpg",1.15157416423239,32921691.6260954,"2020's"
"45271",2020,"4,356","Ala Vaikunthapurramuloo","$28,477,890","-","-","$28,477,890","100%","tt9537292","https://m.media-amazon.com/images/M/MV5BMmRkMGMzYTUtM2E2My00YjZlLWFmZjItMDA5M2EwNjNiZTNjXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.15157416423239,32794402.375852,"2020's"
"46062",2020,"4,537","Emma.","$26,404,660","$10,055,355","38.1%","$16,349,305","61.9%","tt9214832","https://m.media-amazon.com/images/M/MV5BOGRiODEzM2QtOTUyYi00MWRlLTg4MzMtZGI0YmUzNWUyMjQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,30406924.2713405,"2020's"
"45109",2020,"4,601","Leap","$25,818,882","$83,074","0.3%","$25,735,808","99.7%","tt10670442","https://m.media-amazon.com/images/M/MV5BM2MzZDA1NDMtYTk5Mi00M2M3LTk0MDctOGI0ODI0ZGFjNzQ4XkEyXkFqcGdeQXVyMTAwMDE3MjM1._V1_QL75_UY281_CR1,0,190,281_.jpg",1.15157416423239,29732357.4605648,"2020's"
"45665",2020,"4,747","The Father","$24,496,257","$2,122,771","8.7%","$22,373,486","91.3%","tt10272386","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,28209256.6815969,"2020's"
"45759",2020,"4,963","Poupelle of Chimney Town","$22,715,146","-","-","$22,715,146","100%","tt13276012","https://m.media-amazon.com/images/M/MV5BNjQyYWMyNDgtNTU1MC00ZjU5LTg5NDktYTZiNTllMzIxYTE2XkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.15157416423239,26158175.2703668,"2020's"
"45118",2020,"5,018","Gretel & Hansel","$22,304,357","$15,347,654","68.8%","$6,956,703","31.2%","tt9086228","https://m.media-amazon.com/images/M/MV5BOTIyYWJjZDctODY4OC00NWExLWE2NTktZmY0MWY2YWZjMWIxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,25685121.2710159,"2020's"
"45117",2020,"5,175","Stigmatized Properties","$21,276,720","-","-","$21,276,720","100%","tt13050614","https://m.media-amazon.com/images/M/MV5BODIwMDNhMzktNTIyNC00MzMwLThkNmMtZjY3YzVlNDE1Nzc1XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_QL75_UY281_CR36,0,190,281_.jpg",1.15157416423239,24501721.0516066,"2020's"
"46236",2020,"5,198","Pokémon the Movie: Secrets of the Jungle","$21,097,921","-","-","$21,097,921","100%","tt11819890","https://m.media-amazon.com/images/M/MV5BMTRmOGE4ZTgtODc5YS00YTdmLWJjZDUtNWExODA5NTgyNGY3XkEyXkFqcGdeQXVyNzYzNjg0NDk@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,24295820.742616,"2020's"
"46058",2020,"5,264","The Photograph","$20,690,779","$20,578,185","99.5%","$112,594","0.5%","tt7798646","https://m.media-amazon.com/images/M/MV5BMjY3OWY4NDMtNmMwYy00ODNmLTljODAtMzEyNWI5ZDc1YzU3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg",1.15157416423239,23826966.5342421,"2020's"
"45352",2020,"5,288","Yarn","$20,474,270","-","-","$20,474,270","100%","tt10467054","https://m.media-amazon.com/images/M/MV5BODFlOGVmZjctMGJjNy00YWIxLWFjMDMtOGYxYWEwYTIyYmUzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.15157416423239,23577640.3635183,"2020's"
"46596",2020,"5,311","Violet Evergarden: The Movie","$20,339,624","-","-","$20,339,624","100%","tt8652818","https://m.media-amazon.com/images/M/MV5BYTJmNzc5YTEtNTBmNy00YmUxLWFlNzktYjZjMTg3OGY3ZDhkXkEyXkFqcGdeQXVyMzUzMzgxNA@@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,23422585.5086011,"2020's"
"46108",2020,"5,315","Brahms: The Boy II","$20,311,536","$12,611,536","62.1%","$7,700,000","37.9%","tt9173418","https://m.media-amazon.com/images/M/MV5BZjFmY2IwZmEtNTE4Mi00YzNmLTgzZTgtZjg1NzBhMGZjNGYzXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY281_CR1,0,190,281_.jpg",1.15157416423239,23390240.0934761,"2020's"
"46192",2020,"5,394","Ice 2","$19,788,995","-","-","$19,788,995","100%","tt10922066","https://m.media-amazon.com/images/M/MV5BNGZhYTUyMjgtNzhlMC00Y2VmLThjYTYtY2QxNmI1NTczNDRiXkEyXkFqcGdeQXVyMTA3NTQ1NDEw._V1_QL75_UY281_CR5,0,190,281_.jpg",1.15157416423239,22788495.378124,"2020's"
"45510",2020,"5,443","Soul Snatcher","$19,561,221","-","-","$19,561,221","100%","tt12392662","https://m.media-amazon.com/images/M/MV5BY2JjM2I4ZTYtNGUxNS00MjkyLWI4MDYtZDg2Y2ZkNjNjMTE4XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_QL75_UY281_CR4,0,190,281_.jpg",1.15157416423239,22526196.7244401,"2020's"
"46504",2020,"5,463","The Turning","$19,428,166","$15,472,775","79.6%","$3,955,391","20.4%","tt7510346","https://m.media-amazon.com/images/M/MV5BY2ZiMzVkNzktZjlmMy00MWE1LWJkMjgtZTFiMWYyYTU3M2FjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg",1.15157416423239,22372974.0240182,"2020's"
"45134",2020,"5,491","Fate/stay night [Heaven's Feel] III. spring song","$19,252,497","$200,000","1%","$19,052,497","99%","tt8092118","https://m.media-amazon.com/images/M/MV5BYTg3MmY5MzMtNTdjYS00ZWU2LWI2ODUtOGRmZDRkMzk3MjE4XkEyXkFqcGdeQXVyMTIzNDg4NTk0._V1_QL75_UY281_CR1,0,190,281_.jpg",1.15157416423239,22170678.1421616,"2020's"
"46354",2020,"5,559","Promising Young Woman","$18,854,166","$6,460,965","34.3%","$12,393,201","65.7%","tt9620292","https://m.media-amazon.com/images/M/MV5BOTgzMzE4MGItZDgxYS00ZGEwLWE3YTctZWY3ZDAyMTk0ZGU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.15157416423239,21711970.4537488,"2020's"
