"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"5545",2000,"200","Mission: Impossible II","$546,388,108","$215,409,889","39.4%","$330,978,219","60.6%","tt0120755","https://m.media-amazon.com/images/M/MV5BN2RkYWVkZDQtNTMxMi00NWQ4LWE2ODctNmQzOWM2NjQzYzdlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,2,190,281_.jpg",1.73073170731707,945651223.016585,"2000's"
"5299",2000,"229","Gladiator","$503,162,313","$187,705,427","37.3%","$315,456,886","62.7%","tt0172495","https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.73073170731707,870838969.036098,"2000's"
"5428",2000,"296","Cast Away","$429,632,142","$233,632,142","54.4%","$196,000,000","45.6%","tt0162222","https://m.media-amazon.com/images/M/MV5BN2Y5ZTU4YjctMDRmMC00MTg4LWE1M2MtMjk4MzVmOTE4YjkzXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.73073170731707,743577970.641951,"2000's"
"5546",2000,"370","What Women Want","$374,111,707","$182,811,707","48.9%","$191,300,000","51.1%","tt0207201","https://m.media-amazon.com/images/M/MV5BZjUyZWE5YmMtNDA2ZC00NzFlLTg0MzktOTgzYjA2ZWE3NmIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg",1.73073170731707,647486993.383415,"2000's"
"5467",2000,"426","Dinosaur","$349,822,765","$137,748,063","39.4%","$212,074,702","60.6%","tt0130623","https://m.media-amazon.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR2,0,190,281_.jpg",1.73073170731707,605449351.326829,"2000's"
"5448",2000,"437","How the Grinch Stole Christmas","$345,823,032","$260,715,005","75.4%","$85,108,027","24.6%","tt0170016","https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.73073170731707,598526886.602927,"2000's"
"5334",2000,"461","Meet the Parents","$330,444,045","$166,244,045","50.3%","$164,200,000","49.7%","tt0212338","https://m.media-amazon.com/images/M/MV5BMGNlMGZiMmUtZjU0NC00MWU4LWI0YTgtYzdlNGVhZGU4NWZlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.73073170731707,571909986.17561,"2000's"
"5236",2000,"464","The Perfect Storm","$328,718,434","$182,618,434","55.6%","$146,100,000","44.4%","tt0177971","https://m.media-amazon.com/images/M/MV5BOGU2MWRiYmQtMDY1MS00OTUzLTkzYTktYjE5YTE4MTI0NzRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg",1.73073170731707,568923416.503415,"2000's"
"5290",2000,"543","X-Men","$296,339,528","$157,299,718","53.1%","$139,039,810","46.9%","tt0120903","https://m.media-amazon.com/images/M/MV5BZmIyMDk5NGYtYjQ5NS00ZWQxLTg2YzQtZDk1ZmM4ZDBlN2E3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.73073170731707,512884217.240976,"2000's"
"5477",2000,"551","What Lies Beneath","$291,420,351","$155,464,351","53.4%","$135,956,000","46.6%","tt0161081","https://m.media-amazon.com/images/M/MV5BNTY4NjNkMTMtNTEyOC00NDBiLWFkZjMtZDkwYzU3OTFjOTkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.73073170731707,504370441.633171,"2000's"
"5494",2000,"574","Scary Movie","$278,019,771","$157,019,771","56.5%","$121,000,000","43.5%","tt0175142","https://m.media-amazon.com/images/M/MV5BMGEzZjdjMGQtZmYzZC00N2I4LThiY2QtNWY5ZmQ3M2ExZmM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",1.73073170731707,481177632.930732,"2000's"
"5552",2000,"608","Charlie's Angels","$264,105,545","$125,305,545","47.4%","$138,800,000","52.6%","tt0160127","https://m.media-amazon.com/images/M/MV5BMGI1NTM5MTItNDcxMS00YTIwLTg1NjUtNzE5ZGE5NDkxMmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,3,190,281_.jpg",1.73073170731707,457095840.809756,"2000's"
"5253",2000,"630","Erin Brockovich","$256,271,286","$125,595,205","49%","$130,676,081","51%","tt0195685","https://m.media-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",1.73073170731707,443536840.355122,"2000's"
"5493",2000,"656","Unbreakable","$248,118,121","$95,011,339","38.3%","$153,106,782","61.7%","tt0217869","https://m.media-amazon.com/images/M/MV5BMDIwMjAxNzktNmEzYS00ZDY5LWEyZjktM2Y0MmUzZDkyYmZkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR0,0,190,281_.jpg",1.73073170731707,429425899.174634,"2000's"
