"","Year","Rank","Title","Worldwide Lifetime Gross","Domestic Lifetime Gross","Domestic %","Foreign Lifetime Gross","Foreign %","tt","img","adj","rev","dec"
"2428",1990,"227","Ghost","$505,703,557","$217,631,306","43%","$288,072,251","57%","tt0099653","https://m.media-amazon.com/images/M/MV5BMmE4ZjI3YzctNjM0YS00MjBlLWFmYjItNDRiNTk0ZmRkYjVjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,0,190,281_.jpg",2.28020565552699,1153108110.69152,"1990's"
"2506",1990,"247","Home Alone","$476,684,675","$285,761,243","60%","$190,923,432","40%","tt0099785","https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,1,190,281_.jpg",2.28020565552699,1086939091.83805,"1990's"
"2324",1990,"264","Pretty Woman","$463,406,268","$178,406,268","38.5%","$285,000,000","61.5%","tt0100405","https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_QL75_UX190_CR0,3,190,281_.jpg",2.28020565552699,1056661593.10026,"1990's"
"2338",1990,"304","Dances with Wolves","$424,208,848","$184,208,848","43.4%","$240,000,000","56.6%","tt0099348","https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_QL75_UX190_CR0,2,190,281_.jpg",2.28020565552699,967283414.33419,"1990's"
"2453",1990,"615","Total Recall","$261,317,921","$119,412,921","45.7%","$141,905,000","54.3%","tt0100802","https://m.media-amazon.com/images/M/MV5BYzU1YmJjMGEtMjY4Yy00MTFlLWE3NTUtNzI3YjkwZTMxZjZmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",2.28020565552699,595858601.354756,"1990's"
"2444",1990,"671","Back to the Future Part III","$245,077,583","$88,277,583","36%","$156,800,000","64%","tt0099088","https://m.media-amazon.com/images/M/MV5BYjhlMGYxNmMtOWFmMi00Y2M2LWE5NWYtZTdlMDRlMGEzMDA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",2.28020565552699,558827290.799486,"1990's"
"2536",1990,"690","Die Hard 2","$240,031,274","$117,540,947","49%","$122,490,327","51%","tt0099423","https://m.media-amazon.com/images/M/MV5BMzMzYzk3ZTEtZDg0My00MTY5LWE3ZmQtYzNhYjhjN2RhZGRjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",2.28020565552699,547320668.478149,"1990's"
"2318",1990,"758","Presumed Innocent","$221,303,188","$86,303,188","39%","$135,000,000","61%","tt0100404","https://m.media-amazon.com/images/M/MV5BMjMyODU4NjQwMV5BMl5BanBnXkFtZTgwMTkwNTg4NjE@._V1_QL75_UY281_CR0,0,190,281_.jpg",2.28020565552699,504616780.863753,"1990's"
"2401",1990,"863","Teenage Mutant Ninja Turtles","$202,084,756","$135,384,756","67%","$66,700,000","33%","tt0100758","https://m.media-amazon.com/images/M/MV5BNzg3NTQ4NDk5NV5BMl5BanBnXkFtZTgwNzMzNDg4NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",2.28020565552699,460794803.526992,"1990's"
"2392",1990,"864","Kindergarten Cop","$201,957,688","$91,457,688","45.3%","$110,500,000","54.7%","tt0099938","https://m.media-amazon.com/images/M/MV5BMjMyMTIyOTc0N15BMl5BanBnXkFtZTgwODY1NTk4NjE@._V1_QL75_UX190_CR0,1,190,281_.jpg",2.28020565552699,460505062.354756,"1990's"
