o,trains,tot
2401,2946,2582985
2402,496,1556160
2403,1060,414250
2404,557,211703
2405,541,274217
2406,662,212049
2407,8042,2998878
2408,2250,167991
2409,364,227880
2410,1087,115922
2411,1199,18462
2412,562,399898
2413,1677,656248
2414,691,217245
2415,0,53283
2416,3426,337031
2417,3792,395976
2418,2489,262136
2419,5134,380709
