o,trains,tot
801,2615,200635
802,2656,403350
803,583,83199
804,2002,421642
805,2681,2701471
806,0,350558
807,1633,223232
808,3031,1152125
809,726,238595
810,0,362733
811,4588,172233
812,1211,340506
813,1380,197677
814,3312,320915
815,0,1577099
816,245,86230
817,1279,448202
818,2785,237400
819,2240,484730
820,979,1296152
821,5748,171267
822,985,346463
823,2022,130039
824,7157,415995
825,1130,652658
826,7444,326378
827,1583,230194
828,3513,810286
829,1255,199293
830,2335,181425
831,858,188804
832,1244,179544
833,1979,370333
834,2738,302944
835,1975,361887
836,1226,162262
837,1157,355648
838,1317,405758
839,2419,1674022
840,3450,300353
841,1177,220307
842,1237,206994
843,104,138460
844,3042,662669
845,0,805071
846,955,99812
847,2151,284607
848,3348,197816
849,3151,226463
850,549,838388
851,5759,992167
852,3273,397390
853,1248,152573
854,2239,876258
855,5734,415288
856,1436,293326
857,2997,237046
858,12402,8587348
859,1,106311
860,1024,421997
861,4371,379853
862,1195,540988
863,2549,337714
864,2020,1647327
865,646,267064
866,2609,274562
867,2298,2093090
868,1901,215879
869,2183,284439
870,1947,922951
871,162,3120
872,1446,432320
873,5504,417309
874,15826,556862
875,3456,137815
