o,trains,tot
1601,1462,115677
1602,1336,192105
1603,1350,261554
1604,1340,92532
1605,4705,369751
1606,1432,168774
1607,1720,378422
1608,4687,260361
1609,1705,237242
1610,1175,144731
1611,2149,190199
1612,1841,249226
1613,1493,258829
1614,2882,244824
1615,3608,168649
1616,2337,2585692
1617,5627,389939
1618,863,170438
1619,2211,275716
1620,2565,425428
1621,0,181838
1622,1491,150240
1623,2516,430488
1624,776,121057
1625,1098,234460
1626,1559,281349
1627,1291,185796
